numero carta;nome carta;descrizione
082;Rune ward;You have a deeply personal trinket that can be infused with protective magic and held as a ward by you or an ally. Describe what it is and why it's important to you. The ward's holder can spend a Hope to reduce incoming damage by 1d8. If the Ward Die result is 8, the ward's power ends after it reduces damage this turn. It can be recharged for free on your next rest. Laura Marie Neal
103;Get back up;When you take Severe damage, you can mark a Stress to reduce the severity by one threshold. Jenny Tan
124;Deft Maneuvers;Once per rest, mark a Stress to sprint anywhere within Far range without making an Agility Roll to get there. If you end this movement within Melee range of an adversary and immediately make an attack against them, gain a +1 bonus to the attack roll. Tamara Osborn
083;Unleash Chaos;At the beginning of a session, place a number of tokens equal to your Spellcast trait on this card. Make a Spellcast Roll against a target within Far range and spend any number of tokens to channel raw energy from within yourself to unleash against them. On a success, roll a number of d10s equal to the tokens you spent and deal that much magic damage to the target. Mark a Stress to replenish this card with tokens (up to your Spellcast trait). At the end of each session, clear all unspent tokens. Ernanda Souza
104;Not Good Enough;When you roll your damage dice, you can reroll any 1s or 2s. Juan Salvador Almencion
125;I See it Coming;When you're targeted by an attack made from beyond Melee range, you can mark a Stress to roll a d4 and gain a bonus to your Evasion equal to the result against the attack. Mat Wilma
084;Wall Walk;Spend a Hope to allow a creature you can touch to climb on walls and ceilings as easily as walking on the ground. This lasts until the end of the scene or you cast Wall Walk again. Julia Metzger
105;Whirlwind;When you make a successful attack against a target within Very Close range, you can spend a Hope to use the attack against all other targets within Very Close range. All additional adversaries you succeed against with this ability take half damage. Mike Pape
126;untouchable;Gain a bonus to your Evasion equal to half your Agility. Henry Peters
145;Book of Ava;Power Push: Make a Spellcast Roll against a target within Melee range. On a success, they're knocked back to Far range and take d10+2 magic damage using your Proﬁciency. Tava's Armor: Spend a Hope to give a target you can touch a +1 bonus to their Armor Score until their next rest or you cast Tava's Armor again. Ice Spike: Make a Spellcast Roll (12) to summon a large ice spike within Far range. If you use it as a weapon, make the Spellcast Roll against the target's Difficulty instead. On a success, deal d6 physical damage using your Proﬁciency. Laura Galli
166;Deft Deceiver;Spend a Hope to gain advantage on a roll to deceive or trick someone into believing a lie you tell them. Simon Pape
187;Pick and Pull;You have advantage on action rolls to pick nonmagical locks, disarm nonmagical traps, or steal items from a target (either through stealth or by force). Benjamin Ee
146;Book of Illiat;Slumber: Make a Spellcast Roll against a target within Very Close range. On a success, they're Asleep until they take damage or the GM spends a Fear on their turn to clear this condition. Arcane Barrage: Once per rest, spend any number of Hope and shoot magical projectiles that strike a target of your choice within Close range. Roll a number of d6s equal to the Hope spent and deal that much magic damage to the target. Telepathy: Spend a Hope to open a line of mental communication with one target you can see. This connection lasts until your next rest or you cast Telepathy again. Ernanda Souza
167;Enrapture;Make a Spellcast Roll against a target within Close range. On a success, they become temporarily Enraptured. While Enraptured, a target's attention is ﬁxed on you, narrowing their ﬁeld of view and drowning out any sound but your voice. Once per rest on a success, you can mark a Stress to force the Enraptured target to mark a Stress as well. Letícia Freitas
188;Rain of Blades;Spend a Hope to make a Spellcast Roll and conjure throwing blades that strike out at all targets within Very Close range. Targets you succeed against take d8+2 magic damage using your Proﬁciency. If a target you hit is Vulnerable, they take an extra 1d8 damage. Linda Lithén
168;Inspirational Words;Your speech is imbued with power. After a long rest, place a number of tokens on this card equal to your Presence. When you speak with an ally, you can spend a token from this card to give them one beneﬁt from the following options: • Your ally clears a Stress. • Your ally clears a Hit Point. • Your ally gains a Hope. When you take a long rest, clear all unspent tokens. Mat Wilma
189;Uncanny Disguise;When you have a few minutes to prepare, you can mark a Stress to don the facade of any humanoid you can picture clearly in your mind. While disguised, you have advantage on Presence Rolls to avoid scrutiny. Place a number of tokens equal to your Spellcast trait on this card. When you take an action while disguised, spend a token from this card. After the action that spends the last token is resolved, the disguise drops. Linda Lithén
208;Gifted Tracker;When you're tracking a speciﬁc creature or group of creatures based on signs of their passage, you can spend any number of Hope and ask the GM that many questions from the following list. • What direction did they go? • How long ago did they pass through? • What were they doing in this location? • How many of them were here? When you encounter creatures you've tracked in this way, gain a +1 bonus to your Evasion against them. Ernanda Souza
229;Bolt Beacon;Make a Spellcast Roll against a target within Far range. On a success, spend a Hope to send a bolt of shimmering light toward them, dealing d8+2 magic damage using your Proﬁciency. The target becomes temporarily Vulnerable and glows brightly until this condition is cleared. Anthony Jones
250;Bare Bones;When you choose not to equip armor, you have a base Armor Score of 3 + your Strength and use the following as your base damage thresholds: • Tier 1: 9/19 • Tier 2: 11/24 • Tier 3: 13/31 • Tier 4: 15/38 Simon Pape
209;Nature's tongue;You can speak the language of the natural world. When you want to speak to the plants and animals around you, make an Instinct Roll (12). On a success, they'll give you the information they know. On a roll with Fear, their knowledge might be limited or come at a cost. Additionally, before you make a Spellcast Roll while within a natural environment, you can spend a Hope to gain a +2 bonus to the roll. Simon Pape
